epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.249,1.25469,1.18375,1.18812,0.82902,0.75372,0.82592,0.50486,1.3273,0.89297,1.24704,0.000665631,0.000665631,0.000665631
2,712.609,1.2984,0.95705,1.22418,0.79455,0.71747,0.79632,0.49658,1.27896,1.01488,1.24929,0.00126635,0.00126635,0.00126635
3,1058.25,1.27491,0.91512,1.21035,0.85485,0.72163,0.81426,0.5079,1.31366,0.85602,1.26061,0.00180107,0.00180107,0.00180107
4,1393.69,1.23788,0.85089,1.19613,0.86047,0.78385,0.84404,0.52944,1.28902,0.81234,1.24002,0.001703,0.001703,0.001703
5,1725.29,1.21022,0.79916,1.17225,0.86076,0.81878,0.86595,0.56506,1.22039,0.71925,1.18653,0.001604,0.001604,0.001604
6,2056.02,1.17424,0.74976,1.15327,0.8738,0.82263,0.88077,0.57671,1.17105,0.67545,1.16918,0.001505,0.001505,0.001505
7,2390.34,1.15317,0.72539,1.1446,0.9012,0.80427,0.88022,0.58323,1.16966,0.65102,1.16087,0.001406,0.001406,0.001406
8,2723.77,1.13633,0.69407,1.12586,0.902,0.83825,0.89561,0.59467,1.13814,0.62646,1.14344,0.001307,0.001307,0.001307
9,3056.84,1.11078,0.66927,1.11439,0.88919,0.83164,0.89374,0.60499,1.13502,0.60887,1.14399,0.001208,0.001208,0.001208
10,3388.02,1.10878,0.65688,1.11853,0.88805,0.83997,0.90026,0.59494,1.15492,0.62474,1.15524,0.001109,0.001109,0.001109
11,3709.47,1.09277,0.61296,1.13561,0.88247,0.85123,0.90619,0.60631,1.1125,0.61835,1.13242,0.00101,0.00101,0.00101
12,4028.5,1.06923,0.58452,1.12362,0.89134,0.85482,0.90774,0.61544,1.10536,0.58759,1.13257,0.000911,0.000911,0.000911
13,4347,1.05487,0.57182,1.11464,0.90116,0.86135,0.91434,0.62899,1.08784,0.56902,1.10841,0.000812,0.000812,0.000812
14,4664.01,1.03811,0.55633,1.10035,0.8998,0.86974,0.91521,0.62986,1.07671,0.55065,1.11156,0.000713,0.000713,0.000713
15,4979.68,1.02647,0.53611,1.09587,0.9078,0.87088,0.92278,0.64112,1.0578,0.54346,1.0927,0.000614,0.000614,0.000614
16,5293.51,1.00696,0.52178,1.0819,0.89736,0.87102,0.91958,0.64329,1.04889,0.52794,1.08976,0.000515,0.000515,0.000515
17,5608.59,0.98758,0.50325,1.07397,0.91118,0.86745,0.92554,0.64884,1.04665,0.52248,1.08708,0.000416,0.000416,0.000416
18,5923.34,0.98058,0.49153,1.07044,0.90639,0.87591,0.92892,0.65117,1.04173,0.51376,1.08286,0.000317,0.000317,0.000317
19,6236.82,0.96269,0.47905,1.06312,0.90454,0.88435,0.93199,0.65842,1.02063,0.49738,1.06807,0.000218,0.000218,0.000218
20,6553.68,0.95361,0.46197,1.05363,0.8978,0.89284,0.93248,0.6625,1.01692,0.48835,1.06844,0.000119,0.000119,0.000119
