epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,632.9,1.24154,1.59867,1.15328,0.83719,0.72451,0.79335,0.4677,1.35505,0.98599,1.25157,0.000666149,0.000666149,0.000666149
2,1229.01,1.30148,1.0195,1.19239,0.8429,0.72423,0.80654,0.51437,1.28653,0.8985,1.23008,0.00129983,0.00129983,0.00129983
3,1822.76,1.30894,0.96289,1.19981,0.84014,0.7457,0.82531,0.52443,1.2677,0.86797,1.20927,0.00190051,0.00190051,0.00190051
4,2417.67,1.2576,0.89294,1.16737,0.88265,0.78351,0.8491,0.55378,1.20591,0.75626,1.17104,0.0018515,0.0018515,0.0018515
5,3013.11,1.2198,0.83887,1.15049,0.89445,0.8173,0.8785,0.56139,1.21009,0.73659,1.16147,0.001802,0.001802,0.001802
6,3608.04,1.20643,0.8021,1.14311,0.87994,0.81243,0.86782,0.5681,1.18502,0.70317,1.14747,0.0017525,0.0017525,0.0017525
7,4198.68,1.18218,0.7765,1.13671,0.90095,0.81005,0.88586,0.58917,1.16212,0.68935,1.13131,0.001703,0.001703,0.001703
8,4786.81,1.16444,0.75183,1.11919,0.8856,0.8299,0.88975,0.59816,1.14371,0.64401,1.13335,0.0016535,0.0016535,0.0016535
9,5370.86,1.15106,0.7243,1.11472,0.89278,0.84393,0.89125,0.60196,1.1318,0.63207,1.11821,0.001604,0.001604,0.001604
10,5959.16,1.13263,0.71752,1.10586,0.89601,0.83505,0.89789,0.6016,1.12545,0.64353,1.11454,0.0015545,0.0015545,0.0015545
11,6547.68,1.12615,0.70098,1.10129,0.87954,0.84683,0.89752,0.60788,1.09943,0.62031,1.09699,0.001505,0.001505,0.001505
12,7143.01,1.12407,0.6893,1.10271,0.91567,0.8458,0.90737,0.60948,1.12187,0.60982,1.10154,0.0014555,0.0014555,0.0014555
13,7738.47,1.11711,0.67767,1.09565,0.90981,0.83773,0.90657,0.61395,1.11183,0.60283,1.10156,0.001406,0.001406,0.001406
