epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692.226,1.32282,1.21767,1.34323,0.66979,0.39971,0.4634,0.26082,1.71832,1.83957,1.71582,0.000665631,0.000665631,0.000665631
2,1360.86,1.34625,1.0624,1.36874,0.75996,0.65675,0.71658,0.43692,1.37255,1.07831,1.39826,0.00129932,0.00129932,0.00129932
3,2024.12,1.29317,0.96749,1.34024,0.84484,0.76649,0.82169,0.50353,1.27971,0.88702,1.33859,0.00190002,0.00190002,0.00190002
4,2685.57,1.24617,0.88209,1.31003,0.86931,0.76887,0.83823,0.53981,1.24779,0.79497,1.32329,0.0018515,0.0018515,0.0018515
5,3333.41,1.21353,0.81617,1.28954,0.86603,0.79828,0.8575,0.54684,1.22726,0.74766,1.32322,0.001802,0.001802,0.001802
6,3980.76,1.17799,0.76233,1.27276,0.89439,0.79963,0.86729,0.56874,1.17758,0.71141,1.269,0.0017525,0.0017525,0.0017525
7,4619.98,1.15639,0.73517,1.26259,0.88265,0.81131,0.8728,0.56886,1.15778,0.66921,1.25652,0.001703,0.001703,0.001703
8,5274.28,1.12783,0.69633,1.2443,0.87857,0.83033,0.88679,0.58262,1.16971,0.64087,1.26081,0.0016535,0.0016535,0.0016535
9,5927,1.12368,0.68549,1.23981,0.88724,0.84406,0.88895,0.59364,1.12904,0.61166,1.23082,0.001604,0.001604,0.001604
10,6582.95,1.10446,0.66024,1.22519,0.87722,0.83062,0.89748,0.60799,1.1109,0.60122,1.22646,0.0015545,0.0015545,0.0015545
11,7234.55,1.10121,0.64903,1.22224,0.87694,0.83634,0.88889,0.59992,1.12177,0.60449,1.22342,0.001505,0.001505,0.001505
12,7888.03,1.08557,0.62834,1.21639,0.89181,0.86237,0.91276,0.62499,1.09363,0.55183,1.21263,0.0014555,0.0014555,0.0014555
13,8539.26,1.07648,0.62025,1.2126,0.88956,0.85734,0.90677,0.6201,1.09144,0.56878,1.21994,0.001406,0.001406,0.001406
14,9192.77,1.0644,0.60385,1.20141,0.90105,0.85978,0.90947,0.6205,1.0862,0.55638,1.20047,0.0013565,0.0013565,0.0013565
15,9862.97,1.05114,0.59723,1.19174,0.89397,0.86361,0.91294,0.62422,1.06878,0.55175,1.20079,0.001307,0.001307,0.001307
16,10540.2,1.0449,0.57975,1.1886,0.89802,0.86677,0.91482,0.63026,1.06942,0.53236,1.18281,0.0012575,0.0012575,0.0012575
17,11191.4,1.04186,0.57271,1.18296,0.89088,0.88303,0.92519,0.64117,1.04666,0.51267,1.17849,0.001208,0.001208,0.001208
18,11847.8,1.02109,0.56388,1.1741,0.89324,0.87382,0.92176,0.64438,1.03979,0.51052,1.15183,0.0011585,0.0011585,0.0011585
19,12531.2,1.02042,0.55287,1.17414,0.89859,0.87182,0.92183,0.64053,1.04429,0.51607,1.17572,0.001109,0.001109,0.001109
20,13183.8,1.01073,0.54517,1.16471,0.88866,0.87296,0.92308,0.64409,1.03249,0.51847,1.16118,0.0010595,0.0010595,0.0010595
21,13829.7,1.00534,0.53945,1.16103,0.89642,0.88892,0.92936,0.65733,1.02412,0.4833,1.15798,0.00101,0.00101,0.00101
22,14475.3,0.99319,0.52559,1.15939,0.91011,0.87468,0.92787,0.65499,1.02638,0.48065,1.1633,0.0009605,0.0009605,0.0009605
23,15120.7,0.9926,0.52292,1.1575,0.89916,0.8927,0.93332,0.66015,1.01647,0.47497,1.14699,0.000911,0.000911,0.000911
24,15757.2,0.97185,0.50635,1.14883,0.89955,0.87926,0.93045,0.65888,1.01082,0.47314,1.14897,0.0008615,0.0008615,0.0008615
25,16399.3,0.97085,0.49808,1.13945,0.90134,0.8731,0.92881,0.65815,1.00938,0.48172,1.13939,0.000812,0.000812,0.000812
26,17044.5,0.96387,0.49769,1.14545,0.90646,0.87239,0.93117,0.66224,1.00772,0.4713,1.14728,0.0007625,0.0007625,0.0007625
