epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.59,1.25304,1.56321,1.16805,0.85329,0.75143,0.80553,0.46616,1.29715,0.93922,1.23941,0.000666149,0.000666149,0.000666149
2,1199.56,1.291,0.98202,1.20196,0.81779,0.73625,0.81455,0.51903,1.28425,0.87293,1.22018,0.00129983,0.00129983,0.00129983
3,1785.29,1.2844,0.92253,1.1994,0.86132,0.7968,0.85798,0.55522,1.22589,0.78038,1.20031,0.00190051,0.00190051,0.00190051
4,2369.28,1.24306,0.85428,1.18119,0.8747,0.79725,0.8457,0.5268,1.23018,0.76369,1.18211,0.0018515,0.0018515,0.0018515
5,2950.24,1.20607,0.79949,1.16146,0.89209,0.80255,0.86746,0.55652,1.21129,0.72281,1.17606,0.001802,0.001802,0.001802
6,3516.22,1.18364,0.76748,1.14616,0.89454,0.81612,0.87724,0.58732,1.14529,0.65659,1.13486,0.0017525,0.0017525,0.0017525
7,4077.65,1.15962,0.73511,1.13562,0.88665,0.83327,0.892,0.58723,1.17363,0.65043,1.15543,0.001703,0.001703,0.001703
8,4639.9,1.14893,0.72283,1.13492,0.88919,0.82961,0.88814,0.5975,1.13234,0.6192,1.13071,0.0016535,0.0016535,0.0016535
9,5199.61,1.14683,0.70378,1.12733,0.89239,0.83877,0.89685,0.60317,1.11326,0.61399,1.12897,0.001604,0.001604,0.001604
10,5761.06,1.12738,0.68517,1.12029,0.89281,0.83591,0.89474,0.60888,1.0986,0.60947,1.11614,0.0015545,0.0015545,0.0015545
11,6322.73,1.11252,0.66704,1.10695,0.89227,0.85153,0.90248,0.61511,1.10122,0.58898,1.11249,0.001505,0.001505,0.001505
12,6900.67,1.09989,0.64953,1.10205,0.88672,0.84135,0.9018,0.60927,1.1155,0.59166,1.11035,0.0014555,0.0014555,0.0014555
13,7485.11,1.08978,0.63818,1.09723,0.90152,0.86684,0.91504,0.63019,1.08834,0.55981,1.11178,0.001406,0.001406,0.001406
14,8067.86,1.08851,0.62762,1.1012,0.89728,0.86025,0.91095,0.62374,1.08268,0.56128,1.10464,0.0013565,0.0013565,0.0013565
15,8652.52,1.07711,0.62174,1.08759,0.90047,0.85338,0.90931,0.62548,1.06986,0.55426,1.09464,0.001307,0.001307,0.001307
16,9239.85,1.08023,0.61189,1.09197,0.90648,0.85771,0.91553,0.63149,1.07255,0.5432,1.09414,0.0012575,0.0012575,0.0012575
17,9823.08,1.06541,0.60416,1.08826,0.90296,0.86069,0.91898,0.63958,1.05813,0.53764,1.0801,0.001208,0.001208,0.001208
18,10405.8,1.05696,0.59438,1.07994,0.89905,0.86226,0.92056,0.64172,1.05842,0.52299,1.08121,0.0011585,0.0011585,0.0011585
19,10980.5,1.05114,0.59002,1.07542,0.91824,0.85232,0.92176,0.64096,1.05363,0.51404,1.08589,0.001109,0.001109,0.001109
20,11548.6,1.04741,0.57875,1.07718,0.90909,0.85796,0.92171,0.64465,1.04085,0.51659,1.07601,0.0010595,0.0010595,0.0010595
21,12117.6,1.04145,0.57076,1.07417,0.91011,0.86985,0.92225,0.64447,1.03972,0.51672,1.07384,0.00101,0.00101,0.00101
22,12703.7,1.02831,0.56473,1.07278,0.90623,0.87371,0.92331,0.64122,1.05053,0.50887,1.07862,0.0009605,0.0009605,0.0009605
23,13290.4,1.02639,0.55986,1.06898,0.90556,0.86768,0.92482,0.64916,1.03433,0.4971,1.067,0.000911,0.000911,0.000911
