epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.48,1.23582,1.306,1.1941,0.80616,0.75752,0.81018,0.50895,1.289,0.8941,1.25505,0.000665631,0.000665631,0.000665631
2,703.335,1.27139,0.90631,1.22264,0.84803,0.76639,0.82787,0.51752,1.29744,0.83245,1.25478,0.00126635,0.00126635,0.00126635
3,1042.81,1.23906,0.85972,1.20234,0.83264,0.76983,0.83696,0.53993,1.2307,0.79522,1.21743,0.00180107,0.00180107,0.00180107
4,1373.28,1.20314,0.8019,1.18311,0.87241,0.81449,0.87619,0.57178,1.19093,0.70223,1.19171,0.001703,0.001703,0.001703
5,1703.09,1.18142,0.75906,1.16506,0.88652,0.82594,0.89155,0.57923,1.18774,0.67541,1.18333,0.001604,0.001604,0.001604
6,2041.12,1.14806,0.71135,1.15016,0.85323,0.8205,0.87831,0.58204,1.15177,0.64295,1.16111,0.001505,0.001505,0.001505
7,2378.17,1.12933,0.69145,1.14308,0.89614,0.84082,0.8985,0.60428,1.13321,0.60751,1.14066,0.001406,0.001406,0.001406
8,2714.22,1.11541,0.65883,1.12247,0.89252,0.84872,0.9026,0.60794,1.11645,0.58903,1.1386,0.001307,0.001307,0.001307
9,3053.6,1.08906,0.63368,1.10903,0.87936,0.85428,0.90473,0.61689,1.10572,0.57621,1.12803,0.001208,0.001208,0.001208
10,3389.95,1.08094,0.62292,1.10913,0.88883,0.85371,0.91278,0.61858,1.11292,0.56679,1.1315,0.001109,0.001109,0.001109
11,3716.32,1.0629,0.58044,1.1193,0.89089,0.86486,0.91425,0.62408,1.08267,0.57927,1.10796,0.00101,0.00101,0.00101
12,4038.31,1.04645,0.56392,1.11408,0.91421,0.86335,0.91885,0.62568,1.07999,0.56381,1.11324,0.000911,0.000911,0.000911
13,4357.93,1.03192,0.54297,1.10786,0.89684,0.87088,0.91905,0.63147,1.07131,0.55963,1.10118,0.000812,0.000812,0.000812
14,4680.4,1.0105,0.52182,1.08925,0.90176,0.86802,0.92198,0.64179,1.05366,0.53623,1.09196,0.000713,0.000713,0.000713
15,5003.29,1.0047,0.50983,1.08811,0.90132,0.87718,0.92534,0.64711,1.04389,0.50977,1.08628,0.000614,0.000614,0.000614
16,5331.11,0.98921,0.48882,1.07539,0.91298,0.87861,0.93095,0.65363,1.04289,0.50637,1.08553,0.000515,0.000515,0.000515
17,5656.22,0.9712,0.47255,1.0682,0.90644,0.89036,0.93383,0.66071,1.03141,0.49497,1.07564,0.000416,0.000416,0.000416
18,5983.22,0.96052,0.46931,1.06031,0.91252,0.8915,0.9383,0.66097,1.02561,0.49166,1.07135,0.000317,0.000317,0.000317
19,6303.94,0.94705,0.45289,1.05462,0.90708,0.88921,0.9355,0.66325,1.0135,0.47786,1.06582,0.000218,0.000218,0.000218
20,6627.19,0.93466,0.4387,1.04513,0.89726,0.90008,0.93756,0.66965,1.00765,0.46682,1.06182,0.000119,0.000119,0.000119
