epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,601.06,1.26774,1.21681,1.20763,0.83337,0.72108,0.79998,0.4906,1.33831,1.03685,1.27417,0.000666149,0.000666149,0.000666149
2,1169.45,1.30709,0.96357,1.23833,0.78565,0.74209,0.80277,0.52049,1.25184,0.91363,1.23919,0.00129983,0.00129983,0.00129983
3,1740.52,1.2835,0.90697,1.22137,0.85381,0.77921,0.84815,0.53723,1.24786,0.80224,1.22389,0.00190051,0.00190051,0.00190051
4,2298.85,1.23568,0.83256,1.19725,0.8483,0.82446,0.84462,0.53889,1.21086,0.72625,1.18878,0.0018515,0.0018515,0.0018515
5,2857.66,1.20387,0.78332,1.17432,0.89556,0.83276,0.88804,0.58658,1.16247,0.64705,1.16142,0.001802,0.001802,0.001802
6,3416.72,1.18004,0.74915,1.15321,0.87625,0.82732,0.88456,0.5912,1.14906,0.63733,1.14735,0.0017525,0.0017525,0.0017525
7,3974.69,1.15578,0.7194,1.14579,0.87586,0.83391,0.89448,0.60097,1.13137,0.63419,1.13995,0.001703,0.001703,0.001703
8,4536.17,1.14705,0.70544,1.14366,0.88633,0.85281,0.90469,0.60949,1.12193,0.59498,1.13469,0.0016535,0.0016535,0.0016535
9,5098.52,1.12998,0.67723,1.12934,0.88325,0.8493,0.90155,0.60984,1.099,0.59738,1.12486,0.001604,0.001604,0.001604
10,5663.33,1.11578,0.66857,1.12547,0.9004,0.84395,0.90583,0.61318,1.10979,0.59908,1.11743,0.0015545,0.0015545,0.0015545
11,6228.42,1.10499,0.6457,1.11142,0.8917,0.85825,0.90765,0.61957,1.09356,0.57703,1.11227,0.001505,0.001505,0.001505
12,6797.07,1.08876,0.63472,1.10184,0.89237,0.85997,0.90886,0.61843,1.09275,0.57831,1.10083,0.0014555,0.0014555,0.0014555
13,7362.81,1.08063,0.62702,1.09972,0.90087,0.86312,0.91593,0.63031,1.07703,0.5498,1.11415,0.001406,0.001406,0.001406
14,7931.16,1.08025,0.61337,1.10586,0.91125,0.85566,0.91753,0.62712,1.08413,0.54231,1.10749,0.0013565,0.0013565,0.0013565
15,8497.12,1.06519,0.6025,1.09323,0.89961,0.86991,0.92038,0.6381,1.0588,0.52957,1.09786,0.001307,0.001307,0.001307
16,9066.9,1.07004,0.60286,1.09549,0.89463,0.86798,0.9184,0.63891,1.05813,0.54446,1.09746,0.0012575,0.0012575,0.0012575
